0 - 2,9,19,20,23,30		5,16,39,40,44,48
1 - 4,8,14,15,19,28		20,22,32,36,44,46
2 - 9,12,22,30,37,47		8,20,21,41,42,46
3 - 26,29,31,32,34,36		3,9,10,36,43,49
4 - 1,8,16,25,41,45		3,10,11,14,32,33
5 - 6,18,20,27,31,47		4,12,19,23,26,30
6 - 14,27,34,36,38,40		1,7,9,18,30,46
7 - 8,15,16,41,42,47		3,8,15,30,31,38
8 - 12,33,41,43,47,48		4,5,23,30,35,43
9 - 10,13,31,33,43,46		6,24,25,35,41,42
10 - 4,19,21,33,40,46		7,20,21,26,33,34
11 - 8,13,15,24,35,41		2,11,17,27,32,33
12 - 10,13,27,36,38,45		6,12,23,35,42,48
13 - 2,7,14,27,42,49		11,18,21,22,30,46
14 - 8,11,15,33,37,48		12,15,23,26,33,46
15 - 3,14,20,26,30,37		13,20,23,26,46,48
16 - 3,15,16,25,26,35		7,26,34,35,44,48
17 - 2,6,16,21,38,45		1,7,18,31,48,49
